,house_type,house_size,location,price,numBathrooms,numBalconies,verificationDate,SecurityDeposit,Status
2290,2BHKApartment,950,Goregaon West,60000,2,0,2 months,0,Unfurnished
2291,3BHKApartment,1100,Santacruz East,110000,3,0,2 months,0,Semi-Furnished
2292,2BHKApartment,1250,Ulwe,26000,2,0,a month,0,Unfurnished
2293,2BHKApartment,1700,Panvel,23500,2,0,a month,0,Semi-Furnished
2294,2BHKApartment,1250,Ulwe,32000,2,0,a month,0,Semi-Furnished
2295,2BHKApartment,1200,Ulwe,26000,2,0,a month,0,Unfurnished
2296,3BHKApartment,1600,Lower Parel,215000,3,0,a month,0,Semi-Furnished
2297,3BHKApartment,1800,Ulwe,40000,2,0,a month,0,Unfurnished
2298,5BHKApartment,2600,Santacruz East,350000,4,0,a month,0,Furnished
2299,1BHKApartment,450,Goregaon West,26000,2,0,a month,0,Semi-Furnished
2300,1BHKApartment,550,Ghatkopar East,30000,1,0,a month,0,Unfurnished
2301,1BHKApartment,600,Amrut Nagar,28000,1,0,a month,0,Semi-Furnished
2302,1BHKApartment,444,Goregaon West,26500,1,0,a month,0,Semi-Furnished
2303,2BHKApartment,750,Mulund East,35000,1,0,a month,0,Semi-Furnished
2304,2BHKApartment,890,Virar East,13000,2,0,a month,0,Semi-Furnished
2305,1BHKApartment,700,Shil Phata,13000,1,0,a month,0,Unfurnished
2306,1BHKApartment,675,Shil Phata,11500,1,0,a month,0,Unfurnished
2307,2BHKApartment,1250,Ghansoli,55000,2,0,a month,0,Unfurnished
2308,2BHKApartment,1050,Nerul,56000,2,0,a month,0,Semi-Furnished
2309,3BHKApartment,1190,Mulund West,70000,3,0,a month,0,Furnished
2310,2BHKApartment,1200,Mulund West,44000,2,0,a month,0,Unfurnished
2311,2BHKApartment,700,Thane West,34500,2,0,a month,0,Unfurnished
2312,2BHKApartment,770,Mulund West,50000,2,0,a month,0,Unfurnished
2313,2BHKApartment,960,Shil Phata,25000,2,0,a month,0,Furnished
2314,2BHKApartment,970,Shil Phata,21000,2,0,a month,0,Semi-Furnished
2315,1BHKApartment,695,Dombivali,16000,1,0,a month,0,Semi-Furnished
2316,1BHKApartment,700,Ulwe,16000,1,0,a month,0,Furnished
2317,1BHKApartment,700,Ulwe,14000,2,0,a month,0,Unfurnished
2318,1BHKApartment,700,Ulwe,11000,1,0,a month,0,Unfurnished
2319,2BHKApartment,820,Bandra West,100000,2,0,a month,0,Semi-Furnished
2320,2BHKApartment,850,Bandra West,50000,2,0,a month,0,Furnished
2321,1BHKApartment,950,Bandra West,65000,1,0,a month,0,Furnished
2322,2BHKApartment,1300,Bandra West,150000,3,0,a month,0,Furnished
2323,2BHKApartment,1000,Bandra West,145000,3,0,a month,0,Semi-Furnished
2324,2BHKApartment,1000,Khar,75000,2,0,a month,0,Unfurnished
2325,2BHKApartment,1400,Bandra West,100000,2,0,a month,0,Furnished
2326,2BHKApartment,850,Bandra West,95000,2,0,a month,0,Furnished
2327,1BHKApartment,550,Girgaon,55000,1,0,a month,0,Semi-Furnished
2328,3BHKApartment,1300,Bandra West,140000,3,0,a month,0,Semi-Furnished
2329,1BHKApartment,850,Juhu,64000,1,0,a month,0,Furnished
2330,1BHKApartment,500,Bandra West,55000,1,0,a month,0,Furnished
2331,3BHKApartment,1400,Khar,190000,3,0,a month,0,Furnished
2332,2BHKApartment,950,Bandra West,170000,2,0,a month,0,Furnished
2333,2BHKApartment,950,Khar West,130000,2,0,a month,0,Semi-Furnished
2334,2BHKApartment,1250,Kamothe,20000,2,0,a month,0,Unfurnished
2335,2BHKApartment,1050,Kamothe,21000,2,0,a month,0,Unfurnished
2336,2BHKApartment,990,Kamothe,21000,2,0,a month,0,Furnished
2337,1BHKApartment,635,Kamothe,12500,1,0,a month,0,Unfurnished
